fueltype,doornumber,carbody,drivewheel,enginesize,horsepower,citympg,highwaympg,price
diesel,four,sedan,rwd,183,123,22,25,25552
diesel,four,wagon,rwd,183,123,22,25,28248
diesel,two,hardtop,rwd,183,123,22,25,28176
diesel,four,sedan,rwd,183,123,22,25,31600
gas,four,sedan,rwd,234,155,16,18,34184
gas,two,convertible,rwd,234,155,16,18,35056
gas,four,sedan,rwd,308,184,14,16,40960
gas,two,hardtop,rwd,304,184,14,16,45400
gas,two,hatchback,rwd,140,175,19,24,16503
gas,two,hatchback,fwd,92,68,37,41,5389
gas,two,hatchback,fwd,92,68,31,38,6189
gas,two,hatchback,fwd,92,68,31,38,6669
gas,two,hatchback,fwd,98,102,24,30,7689
gas,two,hatchback,fwd,110,116,23,30,9959
gas,two,hatchback,fwd,122,88,25,32,8499
gas,two,hatchback,fwd,156,145,19,24,12629
gas,two,hatchback,fwd,156,145,19,24,14869
gas,two,hatchback,fwd,156,145,19,24,14489
gas,four,sedan,fwd,122,88,25,32,6989
gas,four,sedan,fwd,122,88,25,32,8189
gas,four,sedan,fwd,110,116,23,30,9279
gas,four,sedan,fwd,110,116,23,30,9279
gas,two,sedan,fwd,97,69,31,37,5499
diesel,two,sedan,fwd,103,55,45,50,7099
gas,two,sedan,fwd,97,69,31,37,6649
gas,four,sedan,fwd,97,69,31,37,6849
gas,four,wagon,fwd,97,69,31,37,7349
gas,two,sedan,fwd,97,69,31,37,7299
gas,two,hatchback,fwd,97,69,31,37,7799
gas,four,sedan,fwd,97,69,31,37,7499
gas,four,wagon,fwd,97,69,31,37,7999
gas,two,hardtop,fwd,97,69,31,37,8249
gas,four,hatchback,fwd,120,97,27,34,8949
gas,four,sedan,fwd,120,97,27,34,9549
gas,four,sedan,fwd,181,152,17,22,13499
gas,four,wagon,fwd,181,152,17,22,14399
gas,four,sedan,fwd,181,152,19,25,13499
gas,two,hatchback,rwd,181,160,19,25,17199
gas,two,hatchback,rwd,181,200,17,23,19699
gas,two,hatchback,rwd,181,160,19,25,18399
gas,four,sedan,rwd,120,97,19,24,11900
diesel,four,sedan,rwd,152,95,28,33,13200
gas,four,wagon,rwd,120,97,19,24,12440
diesel,four,wagon,rwd,152,95,25,25,13860
gas,four,sedan,rwd,120,95,19,24,15580
diesel,four,sedan,rwd,152,95,28,33,16900
gas,four,wagon,rwd,120,95,19,24,16695
diesel,four,wagon,rwd,152,95,25,25,17075
gas,four,sedan,rwd,120,97,19,24,16630
diesel,four,sedan,rwd,152,95,28,33,17950
gas,four,sedan,rwd,134,142,18,24,18150
gas,two,hatchback,fwd,90,68,37,41,5572
gas,two,hatchback,fwd,98,102,24,30,7957
gas,four,hatchback,fwd,90,68,31,38,6229
gas,four,sedan,fwd,90,68,31,38,6692
gas,four,sedan,fwd,98,68,31,38,7609
gas,four,wagon,fwd,122,88,24,30,8921
gas,two,hatchback,rwd,156,145,19,24,12764
gas,two,hatchback,rwd,151,143,19,27,22018
gas,two,hardtop,rwd,194,207,17,25,32528
gas,two,hardtop,rwd,194,207,17,25,34028
gas,two,convertible,rwd,194,207,17,25,37028
gas,two,hatchback,rwd,203,288,17,28,31400.5
gas,four,wagon,fwd,132,90,23,31,9295
gas,two,hatchback,fwd,132,90,23,31,9895
gas,two,hatchback,fwd,121,110,21,28,11850
gas,four,sedan,fwd,121,110,21,28,12170
gas,two,hatchback,fwd,121,110,21,28,15040
gas,four,sedan,fwd,121,110,21,28,15510
gas,two,hatchback,fwd,121,160,19,26,18150
gas,four,sedan,fwd,121,160,19,26,18620
gas,two,hatchback,fwd,97,69,31,36,5118
gas,two,hatchback,fwd,108,73,26,31,7053
gas,two,hatchback,4wd,108,73,26,31,7603
gas,four,sedan,fwd,108,82,32,37,7126
gas,four,sedan,fwd,108,82,28,33,7775
gas,four,sedan,fwd,108,94,26,32,9960
gas,four,sedan,4wd,108,82,24,25,9233
gas,four,sedan,4wd,108,111,24,29,11259
gas,four,wagon,fwd,108,82,28,32,7463
gas,four,wagon,fwd,108,94,25,31,10198
gas,four,wagon,4wd,108,82,23,29,8013
gas,four,wagon,4wd,108,111,23,23,11694
gas,two,hatchback,fwd,92,62,35,39,5348
gas,two,hatchback,fwd,92,62,31,38,6338
gas,four,hatchback,fwd,92,62,31,38,6488
gas,four,wagon,fwd,92,62,31,37,6918
gas,four,wagon,4wd,92,62,27,32,7898
gas,four,wagon,4wd,92,62,27,32,8778
gas,four,sedan,fwd,98,70,30,37,6938
gas,four,hatchback,fwd,98,70,30,37,7198
diesel,four,sedan,fwd,110,56,34,36,7898
diesel,four,hatchback,fwd,110,56,38,47,7788
gas,four,sedan,fwd,98,70,38,47,7738
gas,four,hatchback,fwd,98,70,28,34,8358
gas,four,sedan,fwd,98,70,28,34,9258
gas,two,sedan,rwd,98,70,29,34,8058
gas,two,hatchback,rwd,98,70,29,34,8238
gas,two,sedan,rwd,98,112,26,29,9298
gas,two,hatchback,rwd,98,112,26,29,9538
gas,two,hardtop,rwd,146,116,24,30,8449
gas,two,hardtop,rwd,146,116,24,30,9639
gas,two,hatchback,rwd,146,116,24,30,9989
gas,two,hardtop,rwd,146,116,24,30,11199
gas,two,hatchback,rwd,146,116,24,30,11549
gas,two,convertible,rwd,146,116,24,30,17669
gas,four,sedan,fwd,122,92,29,34,8948
diesel,four,sedan,fwd,110,73,30,33,10698
gas,four,hatchback,fwd,122,92,27,32,9988
gas,four,sedan,fwd,122,92,27,32,10898
gas,four,hatchback,fwd,122,92,27,32,11248
gas,two,hatchback,rwd,171,161,20,24,16558
gas,two,hatchback,rwd,171,161,19,24,15998
gas,four,sedan,rwd,171,156,20,24,15690
gas,four,wagon,rwd,161,156,19,24,15750
diesel,two,sedan,fwd,97,52,37,46,7775
gas,two,sedan,fwd,109,85,27,34,7975
diesel,four,sedan,fwd,97,52,37,46,7995
gas,four,sedan,fwd,109,85,27,34,8195
gas,four,sedan,fwd,109,85,27,34,8495
diesel,four,sedan,fwd,97,68,37,42,9495
gas,four,sedan,fwd,109,100,26,32,9995
gas,two,convertible,fwd,109,90,24,29,11595
gas,two,hatchback,fwd,109,90,24,29,9980
gas,four,sedan,fwd,136,110,19,24,13295
diesel,four,sedan,fwd,97,68,33,38,13845
gas,four,wagon,fwd,109,88,25,31,12290
gas,four,sedan,rwd,141,114,23,28,12940
gas,four,wagon,rwd,141,114,23,28,13415
gas,four,sedan,rwd,141,114,24,28,15985
gas,four,wagon,rwd,141,114,24,28,16515
gas,four,sedan,rwd,130,162,17,22,18420
gas,four,wagon,rwd,130,162,17,22,18950
gas,four,sedan,rwd,141,114,23,28,16845
gas,four,sedan,rwd,141,160,19,25,19045
gas,four,sedan,rwd,173,134,18,23,21485
diesel,four,sedan,rwd,145,106,26,27,22470
gas,four,sedan,rwd,141,114,19,25,22625
